Date,Forecast_GDP_YOY,Actual_GDP_YOY,CI_Lower_95,CI_Upper_95
2019-03-31,6.9361,7.5434,1.8267,12.0456
2019-06-30,7.3631,7.3313,2.2537,12.4726
2019-09-30,7.2413,7.9149,2.1318,12.3507
2019-12-31,7.8985,6.7797,2.789,13.0079
2020-03-31,6.5591,3.5546,1.4497,11.6685
2020-06-30,2.2886,0.253,-2.8208,7.398
2020-09-30,2.366,3.6159,-2.7434,7.4755
2020-12-31,5.5005,3.9456,0.391,10.6099
2021-03-31,5.5686,5.2112,0.4591,10.678
2021-06-30,5.2708,6.1529,0.1614,10.3802
2021-09-30,3.0411,-5.2195,-2.0683,8.1505
2021-12-31,4.7737,4.3825,-0.3357,9.8832
2022-03-31,7.2036,5.924,2.0942,12.3131
2022-06-30,7.8072,8.1968,2.6978,12.9166
2022-09-30,7.2109,15.0974,2.1015,12.3203
2022-12-31,5.7707,5.4144,0.6613,10.8801
2023-03-31,4.7216,4.1947,-0.3878,9.8311
2023-06-30,1.1674,4.0594,-3.942,6.2768
2023-09-30,4.7226,5.6671,-0.3869,9.832
2023-12-31,3.7481,6.1457,-1.3613,8.8575
2024-03-31,5.5929,6.649,0.4834,10.7023
2024-06-30,7.1651,7.1419,2.0556,12.2745
2024-09-30,6.4564,7.4079,1.3469,11.5658
2024-12-31,6.338,7.2409,1.2286,11.4475
2025-03-31,5.6445,7.3536,0.5351,10.7539
2025-06-30,5.2474,8.1207,0.138,10.3569
2025-09-30,6.9249,8.1711,1.8155,12.0343
2026-03-31,8.8547,,3.7453,13.9641
